title,open_date,link,image_link
Driving Madeleine,"Opened Jan 12, 2024",https://www.rottentomatoes.com/m/driving_madeleine,https://resizing.flixster.com/HrMCKN_3naqJ7fYoz_ygzGZ851g=/206x305/v2/https://resizing.flixster.com/Goa7xUZ9zDIU8YVu-wruzsV2mfo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzNlZmY3ZDgyLTAwYjEtNGZjOS1hMmI1LTc1MGNlY2E5NjBlNC5qcGc=
The Teachers' Lounge,"Opened Dec 25, 2023",https://www.rottentomatoes.com/m/the_teachers_lounge,https://resizing.flixster.com/_mqwTqaHARYcC_6K-zxYOE9Rc10=/206x305/v2/https://resizing.flixster.com/PFXs0vyFXqtVFs2Ice1FfoXh2i4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM5YTQwZGI2LTEzOWEtNDY3ZC05N2JjLTY0YWI4NzM4ZDU1Ny5qcGc=
The Sweet East,"Opened Dec 01, 2023",https://www.rottentomatoes.com/m/the_sweet_east,https://resizing.flixster.com/DQ_5kqectRK9EleCUDZ_VNoM1Iw=/206x305/v2/https://resizing.flixster.com/8g4tjcyanJ_XioCMo1pJO5w2eOU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBkZWQxMjg0LTg1ZTktNDZiZi05ZWUyLTYwMzZiZjI5OTdiYy5qcGc=
The Peasants,"Opened Dec 08, 2023",https://www.rottentomatoes.com/m/the_peasants,https://resizing.flixster.com/cJ4QG4nMY4fNNXL4nxMgQM92KR0=/206x305/v2/https://resizing.flixster.com/7VWdqrwkrxiAlHc_X2E3sNNZk3A=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzVlYTg0MTFlLTYwYmItNDAyNC04Y2VmLTY4NTg3NTVjOWFiMy5qcGc=
One From the Heart,"Opened Aug 17, 1981",https://www.rottentomatoes.com/m/one_from_the_heart,https://resizing.flixster.com/EYJ4pNc3nc60bc8EIqTPQmkTtHQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7778_p_v13_af.jpg
I Did It My Way,"Opened Jan 12, 2024",https://www.rottentomatoes.com/m/i_did_it_my_way,https://resizing.flixster.com/i6sBr55Ztj19ZZ15aOLoFWJQr14=/206x305/v2/https://resizing.flixster.com/Br5MN01FW3KrdUWXRV8pLJOlzC0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdjNmJhNDBmLWE4ZDQtNDNmNC1hZWIxLTFjZjllZjMyNGEyOS5qcGc=
Fallen Leaves,"Opened Nov 17, 2023",https://www.rottentomatoes.com/m/fallen_leaves,https://resizing.flixster.com/RGLAYlTJnwojEFyyxX-SpTUZ6w4=/206x305/v2/https://resizing.flixster.com/WIxHPsq5Cz8H1TWULEw-Sq8g6Ks=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzAzMTE2YTE2LTc2MjQtNDIxZC1hMjg0LTNjNjU2Mjg4NTA3OS5wbmc=
The Crime Is Mine,"Opened Dec 25, 2023",https://www.rottentomatoes.com/m/the_crime_is_mine,https://resizing.flixster.com/-oZJ9aYeFrZrHhWqMzgEHtAe4u8=/206x305/v2/https://resizing.flixster.com/dO5kJm5CHM-rA7gmBUFf5-F4nSg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg0OWU3ZTBlLTFjZDQtNGM0OS05NGRmLTQ3NWYzMGRiYzg2Yi5qcGc=
Tótem,"Opened Jan 26, 2024",https://www.rottentomatoes.com/m/totem_2023,https://resizing.flixster.com/IWGGtfMdcGcgQ3e6OqdPgKGfqjA=/206x305/v2/https://resizing.flixster.com/1yI1GmGp3CvQQb0wGfYgW1L4Fg4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzgzOGI0YWYyLWU3OTEtNDI3OC04MzRjLWQzZjJkNjAzYmNlNy5qcGc=
American Star,"Opened Jan 26, 2024",https://www.rottentomatoes.com/m/american_star,https://resizing.flixster.com/xpYeniu95wUJTh_p1W6EBMHvgFc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25896966_p_v13_aa.jpg
